"Tên chính","Tên khác","Tên khoa học","Họ","Mô tả","Bộ phận dùng","Nơi sống và thu hái","Thành phần hoá học","Tính vị, tác dụng","Công dụng, chỉ định và phối hợp","Liều dùng","Đơn thuốc"
"Giáng hương","Giáng hương quả to","Pterocarpus macrocarpus Kurz.","Ðậu - Fabaceae","Cây gỗ cao 25-30cm. Lá kép lông chim; lá chét tới 13 mờ, có lông, màu tro ở mặt trên. Hoa thành chùm ở nách lá, dài 9cm hay hơn. Quả rộng 6-7cm, có răng nằm ở dưới các hạt tách với cuống quả bởi một đường thẳng 2cm. Gờ lồi gần như ở giữa, nối với cuống bởi một cạnh hơi gập vào. Quả tháng 1-2.","Nhựa và rễ cây - Resina et Radix Plerocarpi Macrocarpi.","Loài phân bố từ Mianma tới Nam Việt Nam và Campuchia. Ở nước ta, cây thường gặp trong rừng thưa từ Ðắc Lắc, Khánh Hoà tới Ðồng Nai.","","","Ở Campuchia, rễ cây Giáng hương, phối hợp với những vị thuốc khác, dùng để điều kinh. Dịch đỏ chảy ra từ vỏ cây, nếu sấy khô sẽ cho một chất nhựa, được sử dụng để trám răng. Nhựa cây này cũng có thể dùng để nhuộm. Gỗ Giáng hương có màu nâu hồng mịn, đẹp và thơm, thường được dùng đóng gỗ quý.","",""
"Giáng hương ấn","","Pterocarpus indicus Willd.","Ðậu - Fabaceae","Cây gỗ lớn, cao 10-13m, nhánh sà. Lá dài 20-25cm, mang 5-9 lá chét mỏng hình trái xoan, dài 4,5-10cm, rộng 2,5-5cm, không lông. Chùm hoa ở nách lá có nhánh hay không; đài có lông, cánh cờ rộng 9mm. Quả dẹp, rộng 5cm, vòi nhuỵ ở ngang hột, chứa 3 hạt.","Nhựa - Resina Pterocarpi Indici.","Cây của miền Nam Ðông Dương, bán đảo Malaixia, Java, Sumatra, mọc hoang ở rừng các tỉnh phía Nam.","Nhựa chích từ cây có màu đỏ, sẽ đông cứng sau vài giờ, không mùi, không vị, rất chát, thường được gọi là Kino. Nhựa kino chứa một tanin riêng biệt là acid kino-tannic và một chất màu đỏ. Nếu chưng cất khô, nó cho chất pyrocatechin và acid protocatechinic.","Nhựa của cây có tác dụng như chất chát và làm săn da. Vỏ quả gây nôn.","Dùng uống trong trường hợp ỉa chảy mạn tính, xuất huyết, bạch đới, lậu và dùng trám răng. Ở Malaixia, dùng chữa đau dạ dày, tim hồi hộp, thấp khớp, bạch đới, thường dùng phối hợp với những vị thuốc khác có mùi thơm để tăng hiệu lực. Ở Campuchia, nhựa cây dùng chế thuốc trị sốt rét, làm thuốc lợi tiểu và chống lỵ và còn dùng để trám răng.","",""
"Giang núi","","Ternstroemia japonica Thunb.","Chè - Theaceae","Cây gỗ có kích thước trung bình. Lá thuôn - ngọn giáo, nhọn nhiều hay ít ở hai đầu, dày, dai, dài 5-10cm, rộng 25-35mm, có gân hơi rõ; cuống lá dài 2cm. Hoa vàng nhạt, đơn độc ở nách hay ở ngọn, có cuống dài 10mm. Quả hình trứng hay gần hình cầu, mang phần thừa lại của vòi nhuỵ, có 2 ô; mỗi ô chứa 1-2 hạt lồi ở mặt ngoài, dẹp ở phía bụng, dài 8mm. Hoa tháng 6, quả tháng 8.","Vỏ và rễ - Cortex et Radix Ternstroemiae japonicae.","Loài phân bố ở Ấn Độ, Trung Quốc, Triều Tiên, Nhật Bản, Ðài Loan, Thái Lan, Xri Lanka và Việt Nam. Ở nước ta, cây mọc nhiều ở vùng núi từ Thừa Thiên-Huế qua các tỉnh Tây Nguyên đến Ðồng Nai, Kiên Giang (Ðảo Phú Quốc).","","Lá có vị se, có tác dụng thu liễm.","Ở Nhật Bản người ta thường dùng trị lỵ. Lá được dùng trước đây, ở Trung Quốc làm thuốc nhuộm móng tay như Lá móng.","",""
"Giang ông","Bồng bồng","Dracaena cochinchinensis (Lour.) Merr. (D. lourerii Gagnep.)","Bồng bồng -Dracaenaceae","Thân dạng cây bụi, đơn, mọc đứng. Lá hình ngọn giáo, lấp lánh, gập xuống, có bẹ ở gốc, không cuống, dài 22-80cm, rộng 3-4cm ở đoạn giữa. Hoa xanh vàng vàng, xếp thành nhóm sít nhau thành một chuỳ rộng ở ngọn thân, cao tới 1m, có các nhánh dài tới 30cm. Quả dạng quả mọng, hình cầu, đường kính 1cm hay hơn, thường có 1 hạt đường kính 6-7mm. Ra hoa vào tháng 7.","Gỗ - Lignum Dracaenae Cochinchinensis.","Cây gặp khắp Ðông Dương và được trồng ở Nam Việt Nam.","","Có tác dụng cầm máu, tiêu viêm.","Lá giã nát, vắt lấy nước dùng nhuộm màu xanh, nhân dân thường dùng nhuộm xanh bánh đúc. Hoa thường được dùng nấu với tôm làm canh. Lõi đỏ của thân dùng trừ phong thấp, tê mỏi và đắp bó gãy xương. Ở Thái Lan, trong y học cổ truyền, người ta dùng gỗ nhu Huyết giác làm thuốc hạ nhiệt, chống thoát mồ hôi và chống bệnh scorbut. Ở Trung Quốc, gỗ dùng trị các vết thương do súng, dao.","",""
"Giần sàng","Xà sàng","Cnidium monnieri (L.) Cusson","Hoa tán - Apiaceae","Cây thảo hàng năm, mọc đứng, phân nhánh, có rãnh dọc, cao 50-80cm. Lá xẻ lông chim hai lần, có các phiến dạng góc ở gốc, nhọn ở chóp, các phiến ở dưới xẻ lông chim, các phiến ở trên chia thuỳ lông chim hoặc nguyên, có các phần phân chia nhỏ nhất độ 1-1,5mm; cuống lá dài 4-8cm, có bẹ ngắn. Hoa xếp thành tán kép, bao chung có lá bắc không nhiều, rất hẹp; bao riêng có lá bắc khá nhiều cũng rất hẹp; cuống hoa chung dài 7-12cm, vượt quá lá kề bên. Quả hình trái xoan, bầu dục, hơi dẹt, dài 2-5mm, rộng 1-5mm, có rìa mỏng dạng cánh.","Quả - Fructus Cnidii, thường gọi là Xà sàng tử.","Cây của vùng Ðông Á châu, Nga, Trung Quốc. Rất phổ biến trên các bờ bãi ven sông, các nơi đất trống, trong các ruộng hoang ở nước ta. Cũng có khi được trồng.","Trong hạt có tinh dầu với tỷ lệ 1,3% có mùi hắc đặc biệt mà thành phần chủ yếu có pinen, camphen và bornyl isovaleritenat; osthol, tinh thể không màu; còn có bergapten, enidiadin, isopimpinellin. Có một chất dầu màu đen xanh có thành phần chủ yếu là 92,66% acid béo không no, 4,5% acid béo no và 0,38% chất không xà phòng hoá được, 3,24% glycerin.","Vị cay, đắng, tính ấm; có tác dụng ôn thận tráng dương, táo thấp, khư phong, sát trùng.","Thường dùng chữa liệt dương, phụ nữ lạnh tử cung, khí hư, xích bạch đới, lưng gối mỏi đau. Dùng ngoài làm thuốc chữa phụ nữ lở ngứa âm đạo, viêm do trùng roi âm đạo, ghẻ lở.","Liều dùng 4-12g dạng thuốc sắc uống riêng hay phối hợp với các vị thuốc khác.",""
"Giọt sành","Bã mía, Thanh táo rừng","Pavetta indica L.","Cà phê - Rubiaceae","Cây nhỏ mảnh, cao khoảng 3m hay cây gỗ nhỏ, có cành mọc đối với nhánh non mảnh, nhẵn, có lông bột hay lông mềm. Lá mọc đối, có hình dạng thay đổi, hình trái xoan thuôn, dài 6-23cm, rộng 2-7cm, nhẵn, có lông bột hay lông mềm ở mặt dưới. Hoa trắng, thành xim ở ngọn, có khi thành chuỳ, ngắn hơn lá; lá bắc dạng màng, rộng, dạng đấu, tồn tại. Quả dạng quả mọng, hình cầu, đường kính 4-5mm, có 2 ô, mang một đầu nhuỵ tồn tại dạng vòng. Hạt 1 trong mỗi ô, màu nâu đen đen, phẳng hay lõm ở trong, lồi trên mặt lưng.","Rễ, lá, gỗ - Radix, Folium et Lignum Pavettae Indicae.","Có nhiều thứ khác nhau phân bố khắp nước ta, mọc dọc theo các suối ở rừng thứ sinh sau nương rẫy, gặp trong rừng đất sét ở Hoà Bình, Quảng Ninh, Vĩnh Phú. Còn phân bố ở Ấn Độ, Malaixia, Trung Quốc, úc châu.","Vỏ rễ chứa một glucosid đắng và thơm.","Rễ đắng, có tác dụng khai vị lợi tiểu. Lá tiêu viêm, sát trùng.","Ở Việt Nam, gỗ chẻ mỏng nấu nước như Chè, dùng chữa tê thấp. Ở Ấn Độ, người ta dùng rễ nấu uống khai vị và trị tắc nghẽn ruột và cũng như ở Philippin, người ta nghiền vỏ rễ, rồi lẫn với Gừng và nước cơm, dùng chữa thuỷ thũng và làm thuốc lợi tiểu. Ở Malaixia, người ta dùng đắp trị ghẻ. Lá dùng làm cao dán trị mụn nhọt. Nước sắc lá để nguội qua đêm, trong sương dùng làm thuốc xức rửa trị loét mũi. Nước sắc lá, cũng dùng cho phụ nữ sinh đẻ uống 3 ngày liền sau khi sinh và cũng dùng trị sốt. Lá nấu với nước dưới dạng thuốc chườm nóng, dùng để làm dịu các cơn đau do bệnh trĩ. Quả ngâm giấm được dùng làm gia vị.","",""
"Giọt sành Hồng kông","","Pavetta hongkongensis Bremek.","Cà phê- Rubiaceae","Cây nhỡ thường cao dưới 5m, cành có vỏ đen. Lá có phiến thuôn, dài 8-15cm, rộng 4-4,5cm, đầu nhọn, gân phụ 7-8 cặp, lúc khô màu đen đen; cuống dài 1,2cm, lá kèm xoan nhọn. Chuỳ hoa to, rộng 20cm, cao 15cm, có lá bắc to, cuống hoa 6-10mm, đài không lông, cao 3mm; tràng có ống dài 1,5cm, có lông và ở 1/3 trên, thuỳ 4, cao 5mm; vòi nhuỵ có phần thò ra dài 2cm. Quả có đường kính 6-7mm, màu đen. Hoa về mùa hè.","Toàn cây (rễ, lá) - Radix et Folium Pavettae.","Loài của Nam Trung Quốc, Bắc Việt Nam. Chỉ gặp ở tỉnh Hoà Bình, dọc đường đi, trên các đồi, lùm bụi. Thu hái cây quanh năm. Rửa sạch, cắt đoạn rồi phơi hay sấy khô.","","Vị đắng, tính lạnh, có tác dụng thanh nhiệt giải độc, hoạt huyết khu ứ.","Thường được dùng trị 1. Cảm mạo phát sốt, phòng trị cảm nắng (nóng đột ngột, trúng thử); 2. Viêm gan; 3. Ðòn ngã tổn thương; 4. Táo bón.","Dùng 15-25g sắc uống hoặc nấu nước uống thay trà.","- Dự phòng nóng đột quỵ, dùng Giọt sành Hồng kông 15-25g, nấu nước uống thay trà."
"Giâu gia","","Baccaurea ramiflora Lour. (B. sapida Muell.-Arg.)","Thầu dầu – Euphorbiaceae","Cây gỗ cao 10-15m. Các cành non mảnh, nhẵn. Lá thường nhóm họp ở cuối các cành đó. Lá dày, hình tròn dài, nhọn ở hai đầu, dài 10-20cm, rộng 3-9cm; lá kèm hơi có lông ở mặt lưng, sớm rụng. Hoa xếp thành chùm dài ở nách, trên các sẹo lá. Hoa đực có 4-5 lá đài, 6-10 nhị. Hoa cái có 5-6 lá đài và bầu hình cầu phủ lông tơ rất dày, có 2-4 ô, mỗi ô chứa 2 noãn. Quả mọng, nhẵn, có 3 ngăn, mỗi ngăn có 1 hạt, phía ngoài có cơm mọng. Ra hoa tháng 2-3 và quả chín tháng 6-8.","Lá, quả - Folium et Fructus Baccaureae Ramiflorae.","Cây của vùng Ấn Độ, Malaixia mọc hoang ở rừng và cũng thường được trồng lấy quả ăn.","","","Quả chín ăn rất ngọt và ngon, kích thích tiêu hoá. Lá dùng chữa sưng tấy, mụn nhọt, lở loét, dị ứng. Thường dùng giã nát trộn giấm bôi.","",""
"Giâu gia xoan","","Spondias lakonensis Pierre (Allospondias lakonensis (Pierre) Stapf.)","Ðào lộn hột -Anacardiaceae","Cây gỗ cao 8m hay hơn. Lá kép có 11-23 đôi lá chét, hình bầu dục không cân xứng, dài 2-4cm, mỏng, lúc non có lông mềm, gân phụ 8-9 cặp, không có gân mép. Chuỳ hoa ở nách lá, có lông mềm, màu xám, cao 3-14cm. Hoa trắng, đài nhỏ hình chén; cánh hoa hình trứng, dính nhau; nhị 8-10; lá noãn 5. Quả hạch xoan, hình cầu cỡ 1cm, màu vàng vàng khi chín màu đỏ 5 ô, mỗi ô một hạt. Hoa tháng 5-8, quả tháng 8-9.","Quả - Fructus Spondiatis","Cây mọc ở rừng Hà Bắc, Vĩnh Phú, Hoà Bình, Ninh Bình, Thanh Hoá tới Thừa Thiên-Huế.","Hạt chứa tới 34% dầu có thể dùng làm xà phòng.","","Quả chín có mùi rượu, thơm, vị chua, ăn được. Gỗ tốt dùng làm dụng cụ.","",""
"Giẻ","Hoa dẻ thơm, Nối côi, Chập chại","Desmos chinensis Lour.","Na - Annonaceae","Cây nhỡ mọc trườn, cao 1-3m; nhánh non có lông nâu. Lá có phiến bầu dục tròn dài, mốc ở mặt dưới, gốc tròn hay hình tim. Hoa thường đối diện với lá; cánh hoa 6, màu lục vàng, dài tới 8cm, rộng 1-2cm; nhị cao 1,5cm; lá noãn nhiều. Quả mọng không lông, hình chuỗi 1-4 hạt. Hoa vào tháng 6.","Rễ và lá - Radix et Folium Desmoris.","Loài cây phân bố ở Ấn Độ, Trung Quốc, Lào, Campuchia, Thái Lan, Malaixia, Inđônêxia, Philippin. Ở nước ta cây mọc ven rừng, bụi, cao độ thấp, từ Hà Giang, Yên Bái, Lạng Sơn, Quảng Ninh, Bắc Thái, Hà Bắc, Vĩnh Phú, Hà Tây, Hoà Bình, Ninh Bình, Thanh Hoá... tới Khánh Hoà, Kontum, Lâm Ðồng, Ðồng Nai. Thu hái rễ và lá quanh năm, dùng tươi hay phơi khô dùng dần.","","Vị cay, tính hơi ấm, có độc; có tác dụng khư phong, lợi tiểu, giảm đau, tiêu thực, tán ứ.","Hoa rất thơm, có thể cất lấy tinh dầu chế nước hoa. Ở Hoà Bình, đồng bào dùng nước sắc của hoa cho phụ nữ uống chữa đẻ khó. Ở Ấn Độ, người ta dùng rễ sắc nước uống để trị lỵ và chóng mặt. Ở Trung Quốc, người ta dùng rễ và lá trị 1. Ðau dạ dày, tiêu hoá kém; 2. Trướng bụng và ỉa chảy; 3. Ðau bụng trước khi sinh và xuất huyết, thống kinh; 4. Thấp khớp đau nhức xương; 5. Viêm thận, phù thũng. Dùng ngoài trị đòn ngã tổn thương. Dùng lá tươi giã nát thêm rượu và đắp vào chỗ đau.","Liều dùng 15-40g, dạng thuốc sắc.","1. Ðau dạ dày và hơi bụng đầy trướng, tiêu hoá kém, viêm thận, phù thũng, viêm tiểu phế quản; lá Giẻ 15-30g sắc uống. 2. Thấp khớp đau nhức xương: Rễ cây Giẻ 15-30g sắc nước uống hay ngâm rượu uống."
"Giẻ có cuống","Nối côi, Thau á mai","Desmos pedunculosus (A. DC.) Ban","NaAnnonaceae","Nhánh non không hay có lông thưa. Lá có phiến to, bầu dục to 12x6cm; gốc tròn, đầu tù, mặt trên nâu đậm, mặt dưới nâu, gân phụ 8 cặp, lồi ở mặt dưới, cuống ngắn, có lông. Hoa to, ngoài nách lá, cuống dài 4-4,5cm, có một tiền diệp ở giữa; lá Đài 4mm, cánh hoa thon, to 5x 2cm.","Rễ - Radix Desmoris Pedunculosi.","Loài phân bố ở Việt Nam, Trung Quốc (Vân Nam). Ở nước ta cây mọc ở rừng từ Lào Cai, Yên Bái, Hà Giang, Tuyên Quang, Lạng Sơn, Quảng Ninh, Vĩnh Phú, Hà Tây, Hoà Bình, Thanh Hoá, Nghệ An, Hà Tĩnh tới Quảng Nam - Ðà Nẵng.","","","Có một thứ (var. tonkinensis Ban) có rễ được dùng trong phạm vi dân gian làm thuốc chữa tê thấp, mụn nhọt và sốt như các loại giẻ khác.","",""
"Giền","Giền đỏ, Sai, Mạy sản săn","Xylopia vielana Pierre","Na - Annonaceae","Cây gỗ nhỡ có thể đến 10-18m, đường kính tới 20-25Cm. Thân thẳng, tròn, vỏ thân màu vàng đen, dễ bóc, có cành mảnh, khi non màu xám nhạt, có lông hung sau chuyển sang màu đen, có chấm trắng (lỗ bì). Lá mọc so le, phiến lá xoan, dài 7-10cm, rộng 3-4cm, mặt trên nhẵn bóng, mặt dưới có lông vàng và mốc mốc; cuống 4mm. Hoa mọc 1-2 cái ở nách lá, màu hồng nhạt; đài có 3 thuỳ, mập, tràng có 6 cánh hoa hàn liền ở gốc, dính nhau trước khi nở, hình dải hẹp, có lông dày, nhị nhiều, các nhị ngoài lép, nhị sinh sản xếp nhiều vòng, bao phấn có ngăn ngang; các lá noãn có lông. Quả kép gồm nhiều quả đại hình trụ có cuống dài xếp toả ra, thường có eo giữa các hạt; mặt ngoài màu lục hoặc vàng nhạt, mặt trong màu đỏ; 3-5 hạt màu nâu đen, có áo hạt. Mùa hoa tháng 4-7; quả tháng 8-11.","Vỏ cây - Cortex Xylopiae Vielanae.","Cây mọc ở các rừng kín và rừng thưa vùng đồi núi thấp và trung bình ở nhiều tỉnh từ Lạng Sơn, Quảng Ninh, Hà Bắc, Tuyên Quang, Bắc Thái, Vĩnh Phú, Ninh Bình, Nghệ An, Thừa Thiên - Huế, Quảng Nam-Ðà Nẵng, Kontum, Gia Lai, Ðắc Lắc, Bình Ðịnh, Khánh Hoà, tới Tây Ninh, Ðồng Nai, Bà Rịa-Vũng Tàu. Có nơi như ở Hà Bắc, cây mọc nhiều được chặt làm củi. Người ta dùng vỏ thân làm thuốc, nên có thể thu hái quanh năm, nhưng tốt nhất là vào mùa xuân, mang về cạo bỏ vỏ ngoài, rửa sạch, thái mỏng, phơi hay sấy khô.","Trong vỏ khô có tanin thuộc loại pyrocatechic (4,55%) alcaloid (0,31%- 0,33%) saponin (4,5-4,9% thô, nếu tinh chế là 2,8%), tinh dầu (0,23%).","Không có độc, saponin của vỏ đều có tác dụng an thần.","Nhân dân dùng vỏ cây Giền để làm thuốc bổ máu, chữa xanh xao suy nhược, điều trị sốt rét, làm rượu bổ cho phụ nữ sau khi đẻ, làm thuốc điều kinh. Một số nơi còn dùng làm thuốc trợ tim. Ðồng bào dân tộc ở Hà Bắc, dùng lá cây Giền để điều trị các bệnh đường ruột, đau nhức tê thấp. Quả chín ăn được.","Ngày dùng 10-20g dưới dạng bột, thuốc viên, rượu thuốc. Hoặc nấu cao pha rượu.",""
